in,out,Month_Start,Year_Start,in_up,in_down,out_up,out_down
455635596.5714286,2757085588.571429,0,0,0.0,455635596.5714286,0.0,2757085588.571429
438869768.0,2578181163.428571,256,0,0.0,438869768.0,0.0,2578181163.428571
341842228.5714286,1580875154.2857144,0,0,0.0,341842228.5714286,0.0,1580875154.2857144
385922833.0,2265308710.857143,0,0,385922833.0,0.0,2265308710.857143,0.0
583355057.1428572,1798825998.5714285,0,0,583355057.1428572,0.0,0.0,1798825998.5714285
138021686.57142857,264313296.2857143,0,0,0.0,138021686.57142857,0.0,264313296.2857143
88098467.0,255005350.0,256,256,0.0,88098467.0,0.0,255005350.0
354513881.2,1823207342.4,0,0,354513881.2,0.0,1823207342.4,0.0
124947736.0,313829518.0,256,0,0.0,124947736.0,0.0,313829518.0
201340378.0,380015049.0,256,0,201340378.0,0.0,380015049.0,0.0
138448941.0,400310214.0,256,0,0.0,138448941.0,400310214.0,0.0
88354603.0,452276742.0,256,0,0.0,88354603.0,452276742.0,0.0
159868414.0,615495436.0,256,0,159868414.0,0.0,615495436.0,0.0
